iter	Logloss
0	0.6875943125
1	0.6814938286
2	0.6765380007
3	0.6710501433
4	0.6648439247
5	0.65854177
6	0.6524382703
7	0.6464552822
8	0.6421294759
9	0.637146236
10	0.6320346488
11	0.6293489287
12	0.6242659113
13	0.619199897
14	0.6140091927
15	0.6095319873
16	0.6050544969
17	0.6012200741
18	0.5971472002
19	0.5927799988
20	0.5885740315
21	0.585118912
22	0.5809592784
23	0.5773975015
24	0.5730463269
25	0.569942843
26	0.5658046703
27	0.5614641456
28	0.5586541142
29	0.5560127544
30	0.552590783
31	0.549555019
32	0.5459719674
33	0.5425995806
34	0.5394133967
35	0.5359552911
36	0.5323462064
37	0.5295509015
38	0.5260728793
39	0.5230843926
40	0.5203401827
41	0.5189880322
42	0.5161902393
43	0.5136695669
44	0.5106612607
45	0.5074834148
46	0.5046587428
47	0.5022986776
48	0.5001368464
49	0.4982904035
50	0.4957157603
51	0.4934661773
52	0.4905727929
53	0.4882792985
54	0.48564303
55	0.4832327542
56	0.4811588003
57	0.479015102
58	0.4767178681
59	0.4750957446
60	0.4727609245
61	0.4704491781
62	0.4684231195
63	0.4663601153
64	0.4641998739
65	0.4626889713
66	0.4610242949
67	0.4590895246
68	0.4576936135
69	0.4561087084
70	0.4541306303
71	0.4524704632
72	0.4512486282
73	0.4505984033
74	0.4489424201
75	0.4472142033
76	0.4458690997
77	0.4446713666
78	0.4429854491
79	0.4415907705
80	0.4402384173
81	0.4387930362
82	0.4375153769
83	0.4362905419
84	0.4355137061
85	0.4342317002
86	0.4332385217
87	0.4317763816
88	0.4307834044
89	0.4293047565
90	0.4279549054
91	0.4266558503
92	0.4255809553
93	0.4245960786
94	0.4235965621
95	0.4222852148
96	0.4211564401
97	0.4198103025
98	0.4189167411
99	0.4180343496
100	0.4171944357
101	0.4162302978
102	0.4150989906
103	0.4141444238
104	0.4129637185
105	0.4122101748
106	0.4111409767
107	0.4105323935
108	0.4095614249
109	0.4088133317
110	0.4079970101
111	0.4074876367
112	0.4065575589
113	0.4057161695
114	0.4049143014
115	0.4040026522
116	0.4031072313
117	0.4023738909
118	0.4014431148
119	0.4008202565
120	0.4000655197
121	0.3992472705
122	0.3986712948
123	0.3983983167
124	0.397480206
125	0.3966687489
126	0.3960720507
127	0.3954115536
128	0.3945214265
129	0.393609315
130	0.392921397
131	0.3923570033
132	0.3919011624
133	0.3912986364
134	0.3907642031
135	0.3902773354
136	0.3895638946
137	0.3892034341
138	0.3886471652
139	0.3882354017
140	0.3879059219
141	0.387489275
142	0.3868842783
143	0.3863304152
144	0.3857343581
145	0.3850713982
146	0.384748206
147	0.3844408215
148	0.383945284
149	0.3835598478
150	0.3832371012
151	0.3828142353
152	0.3823795326
153	0.3819502163
154	0.3817584315
155	0.3810703515
156	0.3807959607
157	0.3804021143
158	0.3800651839
159	0.3794612412
160	0.3789889626
161	0.378531965
162	0.3784153092
163	0.3779276266
164	0.3775180635
165	0.3770063899
166	0.3767460409
167	0.3763063106
168	0.3756492306
169	0.3749990771
170	0.3747044982
171	0.3741136651
172	0.3735927116
173	0.3730287208
174	0.3725137004
175	0.37219068
176	0.3718776256
177	0.371536285
178	0.3713987301
179	0.3710363211
180	0.3709767235
181	0.370487332
182	0.3700290242
183	0.369690435
184	0.3694485941
185	0.3691581138
186	0.3685973376
187	0.3682911448
188	0.3678590658
189	0.3675956661
190	0.3673310897
191	0.3668599967
192	0.3665078527
193	0.3659047557
194	0.3654988374
195	0.3651876324
196	0.3648574417
197	0.3646383749
198	0.3641890608
199	0.3638030508
200	0.3634968793
201	0.3629739858
202	0.3628895127
